num;Name;Profile ID;Date;Likes;Comment;Comment ID;Profile URL;Comment URL
1;heisenberg1513;45001824966;03/11/2023 17:22;0;Los privados si chambean rápido , al estado le tomaría dos décadas terminar .;1,80E+16;https://www.instagram.com/heisenberg1513/;https://www.instagram.com/p/CzMR63HuST8/c/18022975096758601
2;paul.ac.2023.30;33746427874;03/11/2023 17:23;0;siuuuuuuuuuuuuuuuuuuuuuuu;1,80E+16;https://www.instagram.com/paul.ac.2023.30/;https://www.instagram.com/p/CzMR63HuST8/c/17988384947237496
3;juan_diego_xyz;34655516257;03/11/2023 17:34;0;De que año??;1,79E+16;https://www.instagram.com/juan_diego_xyz/;https://www.instagram.com/p/CzMR63HuST8/c/17937295049683897
4;heidi.vcm;2547253152;03/11/2023 17:35;0;Y donde dejaron la ciclo vía????? Nisiquiera hay veredas para lo peatones...;1,80E+16;https://www.instagram.com/heidi.vcm/;https://www.instagram.com/p/CzMR63HuST8/c/17983431254584222
5;eneyda_soto;1643247730;03/11/2023 17:35;0;@ginoviviani  creemos ? 😮‍💨;1,80E+16;https://www.instagram.com/eneyda_soto/;https://www.instagram.com/p/CzMR63HuST8/c/17988664799226391
6;josephsiber;41354393113;03/11/2023 17:35;0;Lo mismo dijeron el año pasado 😠;1,80E+16;https://www.instagram.com/josephsiber/;https://www.instagram.com/p/CzMR63HuST8/c/17999802323271561
7;ginoviviani;1492224422;03/11/2023 17:38;0;@eneyda_soto la feeeeee Ene, la feeeeee, hay q creeeer 😂;1,80E+16;https://www.instagram.com/ginoviviani/;https://www.instagram.com/p/CzMR63HuST8/c/17976817187612309
8;nesto.arias;3207130584;03/11/2023 17:42;0;Eso dijeron hace 1 año;1,80E+16;https://www.instagram.com/nesto.arias/;https://www.instagram.com/p/CzMR63HuST8/c/18026308165687808
9;yanromayna;749822539;03/11/2023 17:43;0;Que bajen el pasaje 😢;1,80E+16;https://www.instagram.com/yanromayna/;https://www.instagram.com/p/CzMR63HuST8/c/17975991998556422
10;pierorodelriooo;54026101266;03/11/2023 17:45;0;@gussilvab______ pa eso está el tren;1,80E+16;https://www.instagram.com/pierorodelriooo/;https://www.instagram.com/p/CzMR63HuST8/c/18024800968697212
11;gussilvab_;4352621844;03/11/2023 17:47;0;@pierorodelriooo muy lejos 😢;1,80E+16;https://www.instagram.com/gussilvab_/;https://www.instagram.com/p/CzMR63HuST8/c/18015766309921707
12;patsy_walt;3273806365;03/11/2023 17:48;0;deberían ampliar la ruta de cavenecia, espinar , pardo, benavides. Han quitado todas líneas y ahora obligan a tomar 3 micros , para terminar tomando el corredor por 3 cudras y te cobra por 3 carros más, mala gestion;1,80E+16;https://www.instagram.com/patsy_walt/;https://www.instagram.com/p/CzMR63HuST8/c/18034826242611912
13;almendrajacayblas;5438546491;03/11/2023 17:48;0;Ver para creer!!! Desde el año pasado nos tienen con ese cuento y nada Nosotros los ciudadanos de Lima Norte somos los más perjudicados y Ojalá que de estas estaciones salgan expresos;1,79E+16;https://www.instagram.com/almendrajacayblas/;https://www.instagram.com/p/CzMR63HuST8/c/17860635120043066
14;juancarlos3ii;6368746329;03/11/2023 17:49;0;Ojalá la ruta sea directa y no hagan trasbordos.;1,80E+16;https://www.instagram.com/juancarlos3ii/;https://www.instagram.com/p/CzMR63HuST8/c/18013078720939718
15;ssoirocram;1799017882;03/11/2023 17:52;0;Después de 20 años 😂;1,80E+16;https://www.instagram.com/ssoirocram/;https://www.instagram.com/p/CzMR63HuST8/c/17957970818553171
16;johana.periche;2127035428;03/11/2023 17:54;0;Nos tienen así desde el 10 de diciembre del año pasado;1,80E+16;https://www.instagram.com/johana.periche/;https://www.instagram.com/p/CzMR63HuST8/c/18021624409840280
17;gian.ducati;1727434353;03/11/2023 17:55;0;Dijeron que estaría listo para Diciembre 2022, lo peor de todo hacen un pésimo trabajo.;;;
18;jerson666;317702735;03/11/2023 17:56;0;@bea_beth_12;1,80E+16;https://www.instagram.com/jerson666/;https://www.instagram.com/p/CzMR63HuST8/c/17975973959410407
19;4nthovilla17;32297285571;03/11/2023 17:58;0;Así dijeron hace un año 🤣;1,79E+16;https://www.instagram.com/4nthovilla17/;https://www.instagram.com/p/CzMR63HuST8/c/17897998769826408
20;edgarzurita.98;7060120683;03/11/2023 18:02;0;@gonzales_cordova  será?;1,80E+16;https://www.instagram.com/edgarzurita.98/;https://www.instagram.com/p/CzMR63HuST8/c/17985335732288591
21;iudicame;7502456424;03/11/2023 18:09;0;@almendrajacayblas jaja, sueña sentado;1,80E+16;https://www.instagram.com/iudicame/;https://www.instagram.com/p/CzMR63HuST8/c/18024272893747968
